"session_id","game_id","start_date","start_time","duration_minutes","game_mode","controller_style","location","platform","user_id"
25,63,"2018-09-29","07:00 AM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
26,63,"2018-09-29","10:00 AM",15,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
27,63,"2018-09-29","05:00 PM",30,"Singleplayer","Handheld","Work","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
28,63,"2018-10-01","07:00 PM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
29,63,"2018-10-02","08:00 PM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
30,63,"2018-10-03","07:00 AM",15,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
31,66,"2018-10-03","06:00 PM",105,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
32,63,"2018-10-04","06:00 PM",15,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
33,66,"2018-10-05","08:00 AM",45,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
34,57,"2018-10-05","06:00 PM",45,"Local Multiplayer","Controller","Lounge","PS4","17a87e84-cecb-44fa-9d43-476c8ad9954f"
35,66,"2018-10-05","06:00 PM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
36,63,"2018-10-06","07:00 AM",15,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
37,66,"2018-10-06","09:00 AM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
38,66,"2018-10-07","09:00 AM",90,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
39,66,"2018-10-07","02:00 PM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
40,66,"2018-10-07","06:00 PM",15,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
41,66,"2018-10-08","09:00 PM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
42,63,"2018-10-09","07:00 AM",15,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
43,63,"2018-10-10","06:00 PM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
44,63,"2018-10-12","07:00 AM",15,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
45,67,"2018-10-12","06:00 PM",60,"Local Multiplayer","Controller","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
46,9,"2018-10-12","07:00 PM",60,"Local Multiplayer","Controller","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
47,68,"2018-10-12","08:00 PM",45,"Local Multiplayer","Controller","Lounge","Nintendo 64","17a87e84-cecb-44fa-9d43-476c8ad9954f"
48,69,"2018-10-12","09:00 PM",60,"Local Multiplayer","Controller","Lounge","Nintendo 64","17a87e84-cecb-44fa-9d43-476c8ad9954f"
49,63,"2018-10-13","08:00 AM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
50,66,"2018-10-13","09:00 AM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
51,66,"2018-10-13","04:00 PM",75,"Online Multiplayer","Controller","Simone & Kyles","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
52,66,"2018-10-14","05:00 PM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
53,57,"2018-10-14","06:00 PM",30,"Local Multiplayer","Controller","Computer Room","PS4","17a87e84-cecb-44fa-9d43-476c8ad9954f"
54,64,"2018-10-14","07:00 PM",60,"Local Multiplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
55,63,"2018-10-15","06:00 PM",15,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
56,63,"2018-10-16","07:00 AM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
57,66,"2018-10-17","09:00 PM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
58,66,"2018-10-18","07:00 AM",30,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
59,63,"2018-10-19","07:00 AM",45,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
60,57,"2018-10-19","08:00 PM",30,"Local Multiplayer","Controller","Computer Room","PS4","17a87e84-cecb-44fa-9d43-476c8ad9954f"
61,67,"2018-10-19","09:00 PM",90,"Local Multiplayer","Controller","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
62,63,"2018-10-20","07:00 AM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
63,66,"2018-10-20","09:00 AM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
64,66,"2018-10-21","08:00 AM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
65,70,"2018-10-21","02:00 PM",45,"Online Multiplayer","Oculus Touch","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
66,71,"2018-10-22","12:00 AM",60,"Local Multiplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
67,71,"2018-10-22","11:00 AM",60,"Local Multiplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
68,66,"2018-10-23","06:00 PM",30,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
69,63,"2018-10-24","07:00 AM",15,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
70,66,"2018-10-24","08:00 PM",90,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
71,63,"2018-10-25","10:00 PM",15,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
72,66,"2018-10-26","06:00 PM",45,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
73,63,"2018-10-27","07:00 AM",30,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
74,66,"2018-10-27","08:00 AM",90,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
75,44,"2018-10-27","01:00 PM",45,"Singleplayer","Oculus Touch","Computer Room","Oculus","17a87e84-cecb-44fa-9d43-476c8ad9954f"
76,66,"2018-10-27","04:00 PM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
77,67,"2018-10-27","06:00 PM",90,"Local Multiplayer","Controller","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
78,63,"2018-10-28","06:00 AM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
79,66,"2018-10-28","04:00 PM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
80,66,"2018-11-01","06:00 PM",45,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
81,63,"2018-11-01","10:00 PM",30,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
82,63,"2018-11-02","06:00 AM",30,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
83,63,"2018-11-03","06:00 AM",45,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
84,66,"2018-11-03","08:00 AM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
85,72,"2018-11-03","10:00 AM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
86,66,"2018-11-04","08:00 AM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
87,39,"2018-11-04","04:00 PM",150,"Online Multiplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
88,63,"2018-11-06","06:00 AM",15,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
89,66,"2018-11-07","09:00 PM",15,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
90,66,"2018-11-14","07:00 AM",45,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
91,73,"2018-11-14","10:00 AM",75,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
92,73,"2018-11-14","02:00 PM",90,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
93,74,"2018-11-14","09:00 PM",15,"Local Multiplayer","Kinect","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
94,72,"2018-11-15","09:00 PM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
95,75,"2018-11-17","06:00 AM",60,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
96,76,"2018-11-17","06:00 PM",120,"Local Multiplayer","Rockband Controllers","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
97,75,"2018-11-18","07:00 AM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
98,75,"2018-11-18","11:00 AM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
99,72,"2018-11-18","05:00 PM",45,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
100,75,"2018-11-18","06:00 PM",45,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
101,75,"2018-11-19","06:00 AM",30,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
102,75,"2018-11-19","06:00 PM",15,"Singleplayer","Handheld","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
103,75,"2018-11-19","09:00 PM",60,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
104,75,"2018-11-20","09:00 PM",45,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
105,75,"2018-11-21","09:00 PM",45,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
106,75,"2018-11-22","09:00 PM",60,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
107,75,"2018-11-23","01:00 PM",30,"Singleplayer","Handheld","Beach","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
108,75,"2018-11-24","06:00 AM",60,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
109,57,"2018-11-24","08:00 PM",60,"Local Multiplayer","Controller","Regan, Amy & Braydens","PS4","17a87e84-cecb-44fa-9d43-476c8ad9954f"
110,67,"2018-11-24","09:00 PM",60,"Local Multiplayer","Controller","Regan, Amy & Braydens","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
111,73,"2018-11-25","11:00 AM",90,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
112,73,"2018-11-25","04:00 PM",60,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
113,75,"2018-11-26","08:00 AM",60,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
114,73,"2018-11-26","01:00 PM",105,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
115,75,"2018-11-26","04:00 PM",45,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
116,75,"2018-11-27","10:00 PM",15,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
117,75,"2018-11-28","10:00 PM",45,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
118,75,"2018-11-28","05:00 PM",15,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
119,75,"2018-11-28","10:00 PM",45,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
120,75,"2018-11-30","06:00 AM",60,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
121,75,"2018-12-01","06:00 AM",60,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
122,75,"2018-12-01","10:00 AM",45,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
123,39,"2018-12-01","03:00 PM",150,"Online Multiplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
124,75,"2018-12-02","07:00 AM",30,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
125,73,"2018-12-03","09:00 PM",30,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
126,75,"2018-12-04","06:00 AM",45,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
127,75,"2018-12-04","09:00 PM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
128,75,"2018-12-05","09:00 PM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
129,75,"2018-12-06","06:00 AM",30,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
130,75,"2018-12-07","06:00 AM",30,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
131,75,"2018-12-08","06:00 AM",15,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
132,66,"2018-12-08","01:00 PM",45,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
133,44,"2018-12-08","04:00 PM",30,"Singleplayer","Oculus Touch","Computer Room","Oculus","17a87e84-cecb-44fa-9d43-476c8ad9954f"
134,75,"2018-12-08","06:00 PM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
135,77,"2018-12-09","04:00 AM",30,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
136,73,"2018-12-09","06:00 AM",60,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
137,73,"2018-12-09","09:00 AM",75,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
138,75,"2018-12-09","05:00 PM",90,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
139,75,"2018-12-10","10:00 PM",30,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
140,66,"2018-12-11","08:00 PM",60,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
141,75,"2018-12-12","07:00 AM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
142,78,"2018-12-13","09:00 PM",90,"Online Multiplayer","Keyboard & Mouse","Simone & Kyles","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
143,75,"2018-12-15","07:00 AM",30,"Singleplayer","Handheld","Computer Room","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
144,66,"2018-12-15","11:00 AM",45,"Singleplayer","Controller","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
145,75,"2018-12-18","09:00 PM",45,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
146,75,"2018-12-19","10:00 PM",30,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
147,78,"2018-12-20","07:00 PM",120,"Online Multiplayer","Keyboard & Mouse","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
148,78,"2018-12-20","09:00 PM",45,"Online Multiplayer","Keyboard & Mouse","Computer Room","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
149,73,"2018-12-22","08:00 PM",60,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
150,75,"2018-12-23","07:00 AM",30,"Singleplayer","Handheld","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
151,73,"2018-12-23","11:00 AM",150,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
152,57,"2018-12-23","08:00 PM",60,"Local Multiplayer","Controller","Simone & Kyles","PS4","17a87e84-cecb-44fa-9d43-476c8ad9954f"
153,73,"2018-12-24","01:00 PM",120,"Singleplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
154,75,"2018-12-27","01:00 PM",30,"Singleplayer","Handheld","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
155,79,"2018-12-28","03:00 PM",90,"Local Multiplayer","Controller","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
156,71,"2018-12-28","08:00 PM",75,"Local Multiplayer","Controller","Simone & Kyles","Xbox","17a87e84-cecb-44fa-9d43-476c8ad9954f"
157,62,"2018-12-29","05:00 PM",30,"Local Multiplayer","Controller","Lounge","PS4","17a87e84-cecb-44fa-9d43-476c8ad9954f"
158,80,"2019-01-01","08:00 PM",165,"Local Multiplayer","Keyboard & Mouse","Simone & Kyles","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
159,1,"2019-01-06","04:00 PM",75,"Singleplayer","Keyboard & Mouse","Plane","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
160,1,"2019-01-07","04:00 PM",45,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
161,1,"2019-01-08","09:00 AM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
162,1,"2019-01-10","04:00 PM",105,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
163,1,"2019-01-11","07:00 AM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
164,1,"2019-01-12","08:00 AM",60,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
165,1,"2019-01-13","08:00 AM",90,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
166,1,"2019-01-14","07:00 AM",45,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
167,1,"2019-01-14","06:00 PM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
168,1,"2019-01-14","09:00 PM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
169,1,"2019-01-15","07:00 AM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
170,1,"2019-01-15","09:00 PM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
171,1,"2019-01-16","07:00 AM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
172,1,"2019-01-16","05:00 PM",45,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
173,1,"2019-01-17","05:00 PM",45,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
174,1,"2019-01-18","06:00 PM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
175,1,"2019-01-19","04:00 PM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
176,1,"2019-01-20","07:00 AM",30,"Singleplayer","Keyboard & Mouse","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
177,1,"2019-01-21","07:00 PM",45,"Online Multiplayer","Keyboard & Mouse","Bed","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
178,1,"2019-01-23","05:00 PM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
179,1,"2019-01-24","06:00 PM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
180,81,"2019-01-25","05:00 AM",45,"Singleplayer","Controller","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
181,81,"2019-01-25","06:00 PM",45,"Singleplayer","Controller","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
182,1,"2019-01-25","07:00 PM",45,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
183,81,"2019-01-26","07:00 AM",30,"Singleplayer","Controller","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
184,78,"2019-01-26","06:00 PM",135,"Online Multiplayer","Keyboard & Mouse","Lounge","PC","17a87e84-cecb-44fa-9d43-476c8ad9954f"
185,81,"2019-01-27","07:00 AM",30,"Singleplayer","Controller","Bed","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
186,1,"2019-01-27","01:00 PM",45,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
187,81,"2019-01-27","03:00 PM",45,"Singleplayer","Controller","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
188,1,"2019-01-28","02:00 PM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
189,81,"2019-01-28","07:00 PM",30,"Singleplayer","Controller","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
190,1,"2019-01-28","09:00 PM",30,"Singleplayer","Keyboard & Mouse","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
191,81,"2019-01-30","06:00 PM",15,"Singleplayer","Controller","Lounge","Switch","17a87e84-cecb-44fa-9d43-476c8ad9954f"
